"Pais" "ebroad" "esales" "esocmedia" "eweb" "hbroad" "hiacc" "iuse"
"BE" 98 31 76 87 92 92 86
"BG" 89 10 39 52 84 84 67
"CZ" 98 25 51 83 89 89 81
"DK" 100 38 77 93 92 96 95
"DE" 95 20 57 89 89 92 82
"EE" 95 19 51 80 91 92 85
"IE" 96 34 64 82 93 97 95
"EL" 85 20 56 62 85 85 70
"ES" 98 26 67 77 96 96 86
"FR" 99 12 61 70 88 93 78
"HR" 95 30 54 68 86 86 76
"IT" 96 13 56 75 88 90 79
"CY" 96 17 77 69 93 93 89
"LV" 99 15 58 68 89 91 84
"LT" 100 32 58 78 86 87 78
"LU" 97 9 68 81 97 99 94
"HU" 91 18 48 63 91 91 82
"MT" 95 27 84 82 91 91 84
"NL" 100 23 80 92 99 99 91
"AT" 98 23 65 91 91 95 81
"PL" 95 15 46 71 92 92 74
"PT" 98 16 59 62 84 87 75
"RO" 82 12 36 51 88 89 69
"SI" 99 20 59 83 93 93 85
"SK" 95 14 45 76 90 90 80
"FI" 100 24 79 96 95 97 93
"SE" 97 34 80 91 91 93 92
