pais	PIB_habitante	Tasa_crecimiento_PIB	Productividad_laboral	Productividad_laboral_Hora	Tasa_crecimiento_laboral	Tasa_crecimiento_lab_femenino	Tasa_crecimiento_lab_masc	Tasa_Inflaccion	coste_cecimiento_laboral	consolidacion_deuda_publica	Deficit_publico
Bélgica	117.7	1.5	127.7	121.6	-0.2	0.8	-0.8	1.6	0.4	0	105.4
Replublica Checa	66.4	1.5	60.1	44.7	0.8	0.3	1.1	1.4	3.2	-6.8	29.8
Dinamarca	121.6	0.5	102.3	96.9	-0.2	-0.1	-0.3	2.4	0.9	1.4	47.6
Alemania	108.8	0.1	99.9	102.2	-0.6	0.5	-1.4	1.3	-0.7	-3.8	61.2
Estonia	45.1	7.2	45.8	34	1.3	1.4	1.1	3.6	-0.2	1.5	5.8
Grecia	76.7	3.8	97.2	66	0.1	1.1	-0.5	3.9	2	-4.9	111.6
España	95.3	2.7	98.8	88	2.4	3.9	1.5	3.6	-1.4	-0.3	53.2
Francia	112.3	1.2	120.7	115.7	0.7	1.7	-0.1	1.9	0.6	-3.2	58.8
Irlanda	133.1	6.1	127.9	113.1	1.8	3.3	0.7	4.7	-4.1	-0.4	32.4
Italia	107.2	0.4	111.2	89.7	1.8	2.5	1.4	2.6	0.2	-2.7	108.3
Letonia	38.3	6.4	39.8	30.4	2.3	1.2	3.3	2	-4	-2.3	14.2
Lituania	41.9	6.8	44.9	36.6	4	1.6	6.5	0.3	2.2	-1.4	22.4
Lxemburgo	209.3	2.5	141.2	129	3	5.8	1.4	2.1	3.2	2.1	6.8
Malta	72.4	0.8	84.3	70.2	-0.7	4.5	-2.8	2.6	0	-5.8	63.2
Holanda	125.5	0.1	106	110.9	0.5	1.5	-0.3	3.9	0.9	-2	51.3
Austria	120.1	1	105.8	92.2	-0.1	1.8	-1.7	1.7	-0.3	-0.4	66.7
Polonia	46.4	1.4	51.6	38.5	-1.9	-1.3	-2.3	1.9	-4.6	-3.3	41.2
Portugal	79.3	0.5	71.2	61.8	0.5	0.8	0.2	3.7	0.2	-2.8	56.1
Eslovenia	74.6	3.5	71	59.5	-0.4	-0.2	-0.5	7.5	-1.3	-2.7	29.8
Eslovaquia	50.4	4.6	58.4	49.3	-0.5	-1.4	0.2	3.5	-0.2	-7.8	43.7
Finlandia	112.4	2.2	107.8	92	0.9	2.2	-0.2	2	-0.4	4.3	42.3
Suecia	113.8	2	101.6	94.8	0.1	0.5	-0.2	1.9	-0.6	-0.3	52.4
Reino Unido	116.2	2	107.5	94.1	0.8	1.2	0.4	1.3	-0.7	-1.6	38.2
Noruega	146.8	1.1	125.5	137.5	0.1	0.8	-0.5	0.8	4.9	9.1	36.1
