provincia	alimentacion	vestidoycalzado	vivienda	mobiliario	gastossanitarios	transporte	enseñanzaycultura	turismoyocio
Almeria	618957	295452	522128	167067	58288	280035	129219	307967
Cadiz	683940	203619	426690	124162	60657	285888	127792	313238
Cordoba	590770	265604	487143	113386	37131	237320	116764	247536
Granada	547353	238822	458338	119540	40340	236694	103901	272308
Huelva	649225	245722	570631	99250	61953	253286	123244	238880
Jaen	556210	183295	332662	86364	37160	136992	57607	189811
Malaga	617778	201348	508252	121010	63518	256973	128336	323632
Sevilla	621570	208156	549399	137408	45101	298000	118269	308524
Huesca	577107	249310	412907	107976	39602	335334	90547	227266
Teruel	545238	199788	343919	122154	42281	224286	90291	237747
Zaragoza	556737	266468	496989	132517	54106	235188	118931	282369
Asturias	624941	280273	530828	132066	57679	340013	149265	315478
Baleares	564220	226816	602397	144005	86803	358290	150551	351555
Las-Palmas	632640	201704	522846	153775	84148	327988	173031	305628
Tenerife	523476	171072	467424	118857	65247	303598	142620	283563
Cantabria	604083	287943	654929	119269	63320	302277	116752	276663
Avila	543595	242609	388063	92808	47035	254563	74522	250853
Burgos	602307	255567	600121	162166	51308	280023	132161	301813
Leon	623047	245240	500414	136030	41667	333066	119657	267506
Palencia	589710	206048	449113	113714	34787	248620	115825	294068
Salamanca	488784	167814	400049	78217	24476	195065	69846	193056
Segovia	528040	184840	455368	103446	46337	217156	91436	259705
Soria	679722	232673	503695	129768	55000	272249	117587	300014
Valladolid	567361	223201	566433	140573	46111	254216	149041	327774
Zamora	544527	178835	402354	99953	32143	227163	70283	231577
Albacete	535939	199559	425598	137799	55967	232209	104866	291708
Ciudad-Real	545912	227255	487651	125740	44001	230820	88650	230213
Cuenca	506814	194156	420488	109533	50961	220678	78673	270038
Guadalajara	546909	179824	477446	115585	40129	299174	94923	287703
Toledo	583325	255527	411896	130747	65345	282127	105872	241749
Barcelona	702920	257429	702315	168696	97595	365255	239187	379319
Gerona	684186	285047	566149	149308	77553	259839	191400	329089
Lerida	696542	283134	508906	146773	90828	402073	180652	353124
Tarragona	586122	283112	557653	150464	62853	331848	185713	381485
Alicante	579355	205685	490235	134254	68141	297939	117710	316675
Castellon	496559	201606	411972	107739	42939	212051	84610	241795
Valencia	539570	228072	464127	138419	62471	285948	134751	384939
Badajoz	430442	204529	332948	91831	41112	187500	77481	203808
Caceres	569808	222756	403547	119078	47904	248571	100282	285880
La-Coruna	692445	249121	506616	141805	56114	277401	142246	289111
Lugo	719078	286277	414893	142629	62779	301867	101889	216693
Orense	598669	182378	370866	106873	31779	221028	114728	205921
Pontevedra	736441	263479	468984	136204	50815	344289	129685	309349
Madrid	670577	253928	864553	148014	86601	393664	232387	440275
Murcia	610718	210169	470859	128627	46866	318508	102978	311262
Navarra	669082	324877	704572	221954	81180	415313	185493	411027
Alava	664450	234132	631137	189169	58406	313033	164730	355280
Guipuzcoa	643141	254653	668435	151454	61985	302491	169527	405259
Vizcaya	635929	283160	677817	156612	67899	337253	176222	423122
La-Rioja	634839	209753	542656	127615	54684	269843	126717	322845
Ceuta-Melilla	678733	192344	362317	81673	27191	138705	81979	226279
