nombre	posicion	minutosjugados	puntostotales	puntosmaximos	tirosd3convertidos	tirosde3intentados	tirosd3 	tirosde2convertidos	tirosde2intentados	tirosd2 	tirosde1convertidos	tirosde1intentados	tirosde1 	rebotesofensivos	rebotesdefensivos	rebotestotales	asistencias	recuperaciones	perdidas	taponesafavor	valoracion
Dino Radoncic	Alero	403	88	10	9	26	34,60 	26	61	42,60 	9	17	52,90 	30	60	90	9	11	18	0	84
William Magarity	Ala-pivot	438	150	16	25	76	32,90 	31	53	58,50 	13	15	86,70 	20	50	70	8	8	16	9	133
Pere Tomas	Alero	268	89	13	11	34	32,40 	20	28	71,40 	16	20	80,00 	14	43	57	12	7	7	0	118
Guillem Jou	Escolta	303	62	13	12	39	30,80 	8	15	53,30 	10	14	71,40 	12	28	40	11	6	10	5	62
Eulis Baez	Ala-pivot	387	128	13	17	40	42,50 	29	50	58,00 	19	36	52,80 	17	38	55	26	7	15	4	152
Rafa Martinez	Escolta	590	224	16	34	86	39,50 	35	79	44,30 	52	62	83,90 	4	45	49	53	10	45	0	210
Juampi Vaulet	Alero	458	167	19	6	23	26,10 	65	115	56,50 	19	36	52,80 	27	44	71	13	11	21	4	144
Dani Perez	Base	492	128	14	10	54	18,50 	32	77	41,60 	34	46	73,90 	12	32	44	137	19	46	0	195
Yankuba Sima	Pivot	11	6	6	0	0	0,00 	3	4	75,00 	0	0	0,00 	2	5	7	1	0	0	0	9
Marc Penarroya	Base	10	0	0	0	1	0,00 	0	5	0,00 	0	0	0,00 	0	1	1	1	0	1	0	-4
Adam Hanga	Alero	571	189	15	17	58	29,30 	53	96	55,20 	32	44	72,70 	23	78	101	109	25	55	10	267
Leandro Bolmaro	Escolta	116	46	11	6	13	46,20 	11	25	44,00 	6	7	85,70 	3	6	9	15	6	11	3	36
Rolands Smits	Ala-pivot	168	52	9	5	26	19,20 	14	20	70,00 	9	11	81,80 	8	18	26	7	9	7	1	41
Thomas Heurtel	Base	160	67	21	7	25	28,00 	18	32	56,30 	10	12	83,30 	0	19	19	45	7	22	0	76
Artem Pustovyi	Pivot	63	35	10	0	0	0,00 	13	17	76,50 	9	10	90,00 	9	6	15	3	1	3	2	42
Pierre Oriola	Ala-pivot	505	166	23	12	40	30,00 	53	79	67,10 	24	55	43,60 	52	87	139	23	10	23	2	233
alex Abrines	Escolta	507	154	18	33	90	36,70 	22	40	55,00 	11	15	73,30 	15	46	61	14	16	17	6	118
Cory Higgins	Alero	550	242	24	20	63	31,70 	63	132	47,70 	56	70	80,00 	10	30	40	43	27	29	0	213
Kyle Kuric	Escolta	631	264	17	42	114	36,80 	47	87	54,00 	44	49	89,80 	16	46	62	34	31	22	3	247
Nikola Mirotic	Ala-pivot	646	474	33	36	111	32,40 	100	157	63,70 	166	185	89,70 	33	98	131	36	28	46	18	567
Brandon Davies	Pivot	522	317	24	10	23	43,50 	104	187	55,60 	79	104	76,00 	44	83	127	27	24	47	12	366
Sergi Martinez	Alero	7	0	0	0	0	0,00 	0	0	0,00 	0	0	0,00 	0	0	0	0	0	0	0	-1
Victor Claver	Alero	395	107	14	15	44	34,10 	22	37	59,50 	18	20	90,00 	10	51	61	19	22	15	6	146
Jonathan Barreiro	Alero	512	189	16	28	83	33,70 	40	61	65,60 	25	37	67,60 	31	88	119	14	15	22	4	227
DJ Seeley	Escolta	558	252	25	24	72	33,30 	59	117	50,40 	62	76	81,60 	19	51	70	59	23	42	1	270
Nico Brussino	Alero	654	286	21	43	102	42,20 	58	93	62,40 	41	49	83,70 	20	97	117	52	31	36	3	350
Robin Benzing	Alero	587	302	20	51	143	35,70 	45	119	37,80 	59	69	85,50 	15	45	60	17	22	26	12	219
Vit Krejci	Escolta	210	86	8	8	23	34,80 	25	31	80,60 	12	17	70,60 	7	20	27	15	6	16	3	72
Rodrigo San Miguel	Base	465	108	10	19	41	46,30 	15	30	50,00 	21	25	84,00 	12	41	53	86	12	27	1	202
Dylan Ennis	Escolta	435	236	19	34	84	40,50 	49	103	47,60 	36	52	69,20 	10	52	62	59	29	31	1	246
Tryggvi Hlinason	Pivot	394	133	13	0	0	0,00 	53	98	54,10 	27	45	60,00 	29	44	73	13	2	21	32	156
Jason Thompson	Pivot	38	15	11	0	0	0,00 	6	11	54,50 	3	6	50,00 	4	11	15	5	2	4	1	22
Javi Garcia	Base	82	17	6	2	8	25,00 	4	15	26,70 	3	4	75,00 	1	2	3	7	2	10	0	-8
Pau Ribas	Escolta	219	57	11	12	29	41,40 	6	12	50,00 	9	10	90,00 	3	14	17	38	8	14	1	85
Xabi Lopez-Arostegui	Alero	559	196	18	28	84	33,30 	33	72	45,80 	46	53	86,80 	23	89	112	30	34	38	2	224
Conor Morgan	Ala-pivot	504	241	22	34	97	35,10 	45	66	68,20 	49	57	86,00 	27	64	91	22	13	29	7	241
Vladimir Brodziansky	Ala-pivot	533	293	24	33	71	46,50 	68	116	58,60 	58	71	81,70 	27	65	92	15	9	23	24	322
Albert Ventura	Escolta	587	84	8	14	62	22,60 	12	29	41,40 	18	25	72,00 	24	49	73	28	22	15	1	92
Ferran Bassas	Base	640	247	15	53	128	41,40 	32	58	55,20 	24	34	70,60 	15	60	75	127	22	59	1	305
Arturs Zagars	Base	266	76	16	8	45	17,80 	21	43	48,80 	10	14	71,40 	5	12	17	41	8	27	0	28
Simon Birgander	Pivot	38	16	8	0	0	0,00 	8	12	66,70 	0	0	0,00 	6	4	10	1	1	1	3	19
Joel Parra	Alero	192	40	9	5	22	22,70 	10	25	40,00 	5	8	62,50 	7	17	24	3	6	2	1	18
Ante Tomic	Pivot	552	267	20	0	1	0,00 	115	175	65,70 	37	56	66,10 	48	92	140	39	30	36	5	380
Nenad Dimitrijevic	Base	477	221	17	15	53	28,30 	68	123	55,30 	40	45	88,90 	7	35	42	84	14	66	1	173
Arnau Parrado	Ala-pivot	16	10	5	2	2	100,00 	2	3	66,70 	0	0	0,00 	2	1	3	2	2	0	0	16
Tobias Borg	Escolta	420	131	13	25	56	44,60 	16	51	31,40 	24	26	92,30 	14	38	52	29	10	27	4	115
Mamadou Niang	Pivot	310	105	16	0	1	0,00 	49	71	69,00 	7	11	63,60 	30	57	87	6	7	17	10	162
Pablo Almazan	Alero	314	79	14	9	33	27,30 	18	41	43,90 	16	25	64,00 	8	19	27	23	14	8	1	88
Nick Spires	Ala-pivot	129	28	4	0	1	0,00 	13	30	43,30 	2	7	28,60 	16	16	32	10	3	6	5	29
Obi Enechionyia	Ala-pivot	406	116	24	26	73	35,60 	15	40	37,50 	8	15	53,30 	21	50	71	11	14	16	14	106
Olek Balcerowski	Pivot	13	0	0	0	0	0,00 	0	2	0,00 	0	2	0,00 	2	0	2	0	0	3	1	-8
Frankie Ferrari	Base	155	88	28	17	37	45,90 	10	37	27,00 	17	19	89,50 	2	15	17	34	2	22	0	81
Stan Okoye	Alero	446	189	17	31	87	35,60 	33	79	41,80 	30	39	76,90 	12	44	56	17	18	30	0	107
John Shurna	Pivot	580	232	23	30	63	47,60 	53	88	60,20 	36	44	81,80 	26	56	82	36	11	7	7	278
Fabio Santana	Base	156	34	7	4	15	26,70 	8	25	32,00 	6	7	85,70 	2	10	12	13	5	13	1	13
Beqa Burjanadze	Ala-pivot	587	226	20	21	62	33,90 	56	98	57,10 	51	77	66,20 	32	58	90	16	10	22	0	236
Matt Costello	Pivot	611	309	26	25	71	35,20 	97	164	59,10 	40	51	78,40 	68	139	207	37	18	31	33	408
Javi Beiran	Alero	564	211	24	33	83	39,80 	48	70	68,60 	16	25	64,00 	28	85	113	37	15	33	2	268
Khalifa Diop	Ala-pivot	15	4	3	0	0	0,00 	1	6	16,70 	2	6	33,30 	2	2	4	0	1	1	1	-4
Jovan Kljajic	 	2	0	0	0	0	0,00 	0	0	0,00 	0	0	0,00 	0	0	0	0	0	0	0	0
Dejan Kravic	Pivot	605	286	24	0	1	0,00 	124	204	60,80 	38	61	62,30 	60	81	141	24	22	34	28	350
Vitor Benite	Escolta	700	410	26	68	163	41,70 	66	142	46,50 	74	87	85,10 	8	61	69	47	22	48	0	300
alex Barrera	Escolta	263	76	8	19	49	38,80 	7	15	46,70 	5	8	62,50 	8	29	37	8	6	5	0	62
Miquel Salvo	Alero	323	73	9	5	19	26,30 	20	34	58,80 	18	26	69,20 	18	44	62	6	7	12	8	97
Thad McFadden	Escolta	691	352	25	70	187	37,40 	44	85	51,80 	54	69	78,30 	15	40	55	65	28	39	2	298
Jasiel Rivero	Ala-pivot	310	125	15	11	29	37,90 	35	71	49,30 	22	39	56,40 	19	42	61	12	3	18	6	107
Jordan Sakho	Pivot	229	88	16	0	0	0,00 	28	54	51,90 	32	47	68,10 	20	48	68	11	6	20	6	122
Omar Cook	Base	663	186	24	34	98	34,70 	29	55	52,70 	26	39	66,70 	4	33	37	166	30	41	0	277
Xavi Rabaseda	Alero	306	83	13	15	38	39,50 	14	23	60,90 	10	14	71,40 	16	38	54	14	14	10	5	106
Goran Huskic	Pivot	168	51	9	0	1	0,00 	21	42	50,00 	9	18	50,00 	14	23	37	12	8	18	3	55
Oliver Bieshaar	Pivot	0	0	0	0	0	0,00 	0	0	0,00 	0	0	0,00 	0	0	0	0	0	0	0	0
Alberto Alonso	Alero	2	0	0	0	0	0,00 	0	0	0,00 	0	0	0,00 	0	0	0	0	0	0	0	0
Kareem Queeley	Escolta	0	0	0	0	0	0,00 	0	0	0,00 	0	0	0,00 	0	0	0	0	0	0	0	0
Bruno Fitipaldo	Base	540	226	17	37	99	37,40 	39	73	53,40 	37	41	90,20 	5	30	35	88	15	46	2	225
Marcelinho Huertas	Base	715	306	25	22	74	29,70 	92	174	52,90 	56	57	98,20 	14	43	57	200	25	92	0	375
Sasu Salin	Escolta	610	240	24	54	163	33,10 	21	47	44,70 	36	38	94,70 	9	34	43	44	22	26	0	215
Dani Diez	Alero	665	227	19	37	85	43,50 	44	71	62,00 	28	34	82,40 	38	114	152	27	14	23	1	326
Sergio Rodriguez	Alero	419	118	13	16	39	41,00 	25	54	46,30 	20	29	69,00 	16	59	75	11	8	17	0	134
Giorgi Shermadini	Pivot	653	443	32	0	1	0,00 	165	258	64,00 	113	137	82,50 	59	117	176	34	17	56	12	565
Emir Sulejmanovic	Ala-pivot	393	162	18	7	20	35,00 	64	110	58,20 	13	28	46,40 	44	85	129	10	12	16	3	191
alex Lopez	Escolta	328	99	13	15	51	29,40 	19	33	57,60 	16	29	55,20 	2	25	27	47	11	32	2	87
Fran Guerra	Pivot	181	78	16	4	5	80,00 	25	51	49,00 	16	31	51,60 	20	25	45	16	8	13	3	79
Aaron Doornekamp	Ala-pivot	490	154	19	32	74	43,20 	19	41	46,30 	20	26	76,90 	26	47	73	25	15	23	3	148
Georgios Bogris	Pivot	223	59	10	0	0	0,00 	29	52	55,80 	1	2	50,00 	11	40	51	24	5	9	2	70
alvaro Munoz	Alero	340	114	18	24	64	37,50 	16	48	33,30 	10	11	90,90 	13	22	35	26	7	19	1	86
Albert Oliver	Base	317	123	14	19	49	38,80 	22	46	47,80 	22	24	91,70 	11	26	37	47	11	26	0	125
Laurynas Beliauskas	Escolta	30	2	2	0	5	0,00 	1	2	50,00 	0	0	0,00 	0	2	2	8	0	5	1	1
Mike Daum	Ala-pivot	456	208	17	22	49	44,90 	55	107	51,40 	32	43	74,40 	28	56	84	10	16	27	6	201
Chris Czerapowicz	Alero	539	193	15	31	88	35,20 	39	77	50,60 	22	32	68,80 	20	63	83	28	15	26	4	175
Pepe Pozas	Base	491	97	12	17	56	30,40 	14	37	37,80 	18	26	69,20 	10	41	51	104	25	51	4	140
alex Suarez	Ala-pivot	235	53	9	13	42	31,00 	5	14	35,70 	4	6	66,70 	6	22	28	11	6	5	2	37
Tyson Perez	Ala-pivot	364	130	14	7	27	25,90 	43	74	58,10 	23	33	69,70 	43	65	108	9	10	21	12	169
Oriol Pauli	Alero	275	97	15	6	22	27,30 	28	47	59,60 	23	30	76,70 	2	31	33	17	4	10	1	102
Babatunde Olumuyiwa	Pivot	94	33	12	0	0	0,00 	13	18	72,20 	7	8	87,50 	7	18	25	0	2	8	3	43
Nacho Llovet	Ala-pivot	463	139	12	1	7	14,30 	50	86	58,10 	36	63	57,10 	38	63	101	22	15	34	6	177
Clevin Hannah	Base	621	336	23	39	106	36,80 	65	113	57,50 	89	98	90,80 	7	45	52	100	33	57	0	369
Tomasz Gielo	Ala-pivot	300	91	17	18	47	38,30 	15	28	53,60 	7	8	87,50 	5	28	33	9	6	14	1	51
Sergi Garcia	Base	139	23	6	4	23	17,40 	4	8	50,00 	3	6	50,00 	5	12	17	22	11	16	1	35
Guillem Colom	Base	51	15	8	3	7	42,90 	2	5	40,00 	2	2	100,00 	1	6	7	7	1	0	0	19
David Jelinek	Alero	472	240	23	42	111	37,80 	41	80	51,30 	32	37	86,50 	7	34	41	28	13	20	2	156
Jeremy Senglin	Escolta	587	246	17	26	78	33,30 	60	124	48,40 	48	53	90,60 	12	43	55	66	21	47	0	229
Alexis Bartolome	Alero	6	3	3	1	2	50,00 	0	0	0,00 	0	0	0,00 	0	1	1	0	0	0	0	1
Aleksa Avramovic	Escolta	381	195	35	24	71	33,80 	51	112	45,50 	21	27	77,80 	14	34	48	22	12	31	2	121
Adams Sola	Escolta	50	6	3	1	9	11,10 	1	2	50,00 	1	2	50,00 	2	2	4	2	4	1	0	1
Edgar Vicedo	Alero	212	41	14	6	14	42,90 	10	22	45,50 	3	4	75,00 	11	33	44	5	9	6	2	49
Dovydas Giedraitis	Escolta	71	22	10	7	11	63,60 	0	2	0,00 	1	2	50,00 	1	2	3	2	2	0	0	16
Aleksandar Cvetkovic	Base	236	111	22	13	34	38,20 	18	39	46,20 	36	41	87,80 	4	11	15	40	6	17	0	119
Victor Arteaga	Pivot	427	210	19	0	0	0,00 	96	159	60,40 	18	25	72,00 	63	67	130	5	10	21	17	241
Edwin Jackson	Escolta	64	12	9	2	13	15,40 	1	12	8,30 	4	5	80,00 	1	6	7	12	0	4	0	5
Jonathan Rousselle	Base	618	236	18	27	102	26,50 	54	97	55,70 	47	66	71,20 	9	40	49	109	28	50	2	222
Jaylon Brown	Escolta	403	231	23	18	69	26,10 	66	133	49,60 	45	55	81,80 	5	17	22	44	14	48	0	125
Jovan Kljajic	 	2	0	0	0	0	0,00 	0	0	0,00 	0	0	0,00 	0	0	0	0	0	0	0	0
Ondrej Balvin	Pivot	628	234	16	0	0	0,00 	88	153	57,50 	58	78	74,40 	53	150	203	38	14	49	30	424
Quentin Serron	Escolta	127	40	9	2	16	12,50 	15	25	60,00 	4	5	80,00 	6	13	19	11	2	9	0	38
Arnoldas Kulboka	Ala-pivot	493	195	19	44	126	34,90 	18	35	51,40 	27	31	87,10 	10	72	82	6	3	29	4	153
Tomeu Rigo	Escolta	161	44	7	7	30	23,30 	7	15	46,70 	9	10	90,00 	0	5	5	8	1	13	0	-7
Anthony Randolph	Ala-pivot	364	165	22	33	80	41,30 	17	42	40,50 	32	39	82,10 	6	54	60	10	12	24	6	151
Rudy Fernandez	Alero	315	98	22	26	81	32,10 	4	12	33,30 	12	15	80,00 	6	38	44	31	14	9	5	112
Alberto Abalde	Alero	485	235	19	23	54	42,60 	65	112	58,00 	36	47	76,60 	37	53	90	41	17	22	1	295
Facu Campazzo	Base	587	291	29	43	105	41,00 	42	94	44,70 	78	87	89,70 	8	57	65	131	30	54	1	386
Nico Laprovittola	Base	392	157	16	32	70	45,70 	17	52	32,70 	27	37	73,00 	6	44	50	75	10	39	0	179
Felipe Reyes	Ala-pivot	135	58	11	5	10	50,00 	16	37	43,20 	11	13	84,60 	20	20	40	8	3	11	3	71
Jaycee Carroll	Escolta	431	260	20	42	105	40,00 	49	103	47,60 	36	41	87,80 	12	31	43	12	7	16	3	183
Edy Tavares	Pivot	646	235	22	0	0	0,00 	87	123	70,70 	61	84	72,60 	75	143	218	12	13	28	54	454
Sergio Llull	Escolta	389	229	24	38	104	36,50 	38	74	51,40 	39	43	90,70 	1	21	22	52	13	35	2	186
Trey Thompkins	Ala-pivot	407	201	27	27	67	40,30 	51	90	56,70 	18	22	81,80 	15	57	72	35	12	17	5	208
Jeff Taylor	Alero	360	109	11	23	51	45,10 	16	27	59,30 	8	13	61,50 	6	26	32	20	7	16	1	84
Carlos Alocen	Base	574	203	15	26	74	35,10 	52	98	53,10 	21	30	70,00 	9	61	70	96	15	49	2	224
Boris Tisma	Alero	1	2	2	0	0	0,00 	1	1	100,00 	0	0	0,00 	0	0	0	0	0	0	0	2
Usman Garuba	Pivot	403	105	13	4	13	30,80 	39	65	60,00 	15	27	55,60 	38	89	127	13	11	33	21	178
Fabien Causeur	Alero	386	161	18	14	51	27,50 	45	77	58,40 	29	38	76,30 	8	27	35	35	15	21	1	151
Gabriel Deck	Alero	470	218	18	13	30	43,30 	66	102	64,70 	47	56	83,90 	16	69	85	35	14	27	2	287
Luca Vildoza	Base	442	152	20	24	76	31,60 	30	67	44,80 	20	23	87,00 	6	48	54	52	24	36	5	143
Pierria Henry	Base	639	264	26	25	60	41,70 	77	143	53,80 	35	47	74,50 	24	61	85	98	41	39	1	321
Tadas Sedekerskis	Alero	31	5	5	1	2	50,00 	1	4	25,00 	0	0	0,00 	1	4	5	3	0	2	1	8
Ilimane Diop	Pivot	395	159	16	8	26	30,80 	37	73	50,70 	61	71	85,90 	36	60	96	6	15	22	26	213
Youssoupha Fall	Pivot	303	130	16	0	0	0,00 	51	73	69,90 	28	47	59,60 	29	65	94	2	6	38	14	155
Zoran Dragic	Escolta	181	78	21	10	38	26,30 	18	28	64,30 	12	16	75,00 	2	13	15	15	4	10	0	61
Achille Polonara	Ala-pivot	388	159	18	18	46	39,10 	41	65	63,10 	23	31	74,20 	32	54	86	14	15	12	9	199
Arturs Kurucs	Base	15	6	6	1	2	50,00 	1	1	100,00 	1	1	100,00 	0	0	0	2	0	0	1	8
Jordan Davis	Escolta	103	60	28	4	18	22,20 	21	41	51,20 	6	9	66,70 	2	9	11	2	5	7	0	25
Marques Townes	Escolta	254	85	12	6	22	27,30 	28	54	51,90 	11	12	91,70 	8	16	24	15	13	9	0	63
Rafa Luz	Base	449	116	19	13	39	33,30 	27	68	39,70 	23	29	79,30 	13	40	53	57	17	35	0	129
Rinalds Malmanis	Ala-pivot	83	16	9	2	7	28,60 	2	7	28,60 	6	6	100,00 	1	6	7	3	3	0	1	12
Nemanja Radovic	Ala-pivot	492	256	29	12	25	48,00 	95	183	51,90 	30	56	53,60 	49	75	124	31	14	33	12	260
Emanuel Cate	Pivot	349	139	27	0	1	0,00 	54	75	72,00 	31	40	77,50 	42	32	74	17	10	18	10	204
Augusto Lima	Pivot	601	225	16	0	0	0,00 	101	168	60,10 	23	78	29,50 	76	100	176	28	28	32	32	327
Sadiel Rojas	Alero	439	102	13	10	31	32,30 	26	62	41,90 	20	25	80,00 	50	70	120	20	17	20	4	152
Deon Thompson	Pivot	536	215	15	24	64	37,50 	56	117	47,90 	31	39	79,50 	31	70	101	22	26	36	8	216
Jaime Fernandez	Escolta	442	196	25	23	68	33,80 	39	81	48,10 	49	59	83,10 	10	36	46	74	30	33	2	240
Dario Brizuela	Escolta	682	340	22	49	124	39,50 	62	129	48,10 	69	81	85,20 	8	48	56	48	16	52	0	280
