X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	discriminante
5.7	4.67	17.6	1.5	0.104	1.5	1.88	5.15	8.4	7.5	0.14	205	24	1
5.5	4.67	13.4	1.65	0.245	1.32	2.24	5.75	4.5	7.1	0.11	160	32	1
6.6	2.7	20.3	0.9	0.097	0.89	1.28	4.35	1.2	2.3	0.1	480	17	1
5.7	3.49	22.3	1.75	0.174	1.5	2.24	7.55	2.75	4	0.12	230	30	1
5.6	3.49	20.5	1.4	0.21	1.19	2	8.5	3.3	2	0.12	235	30	1
6	3.49	18.5	1.2	0.275	1.03	1.84	10.25	2	2	0.12	215	27	1
5.3	4.84	12.1	1.9	0.17	1.87	2.4	5.95	2.6	16.8	0.14	215	25	1
5.4	4.84	12	1.65	0.164	1.68	3	6.3	2.72	14.5	0.14	190	30	1
5.4	4.84	10.1	2.3	0.275	2.08	2.68	5.45	2.4	0.9	0.2	190	28	1
5.6	4.48	14.7	2.35	0.21	2.55	3	3.75	7	2	0.21	175	24	1
5.6	4.48	14.8	2.35	0.05	1.32	2.84	5.1	4	0.4	0.12	145	26	1
5.6	4.48	14.4	2.5	0.143	2.38	2.84	4.05	8	3.8	0.18	155	27	1
5.2	3.48	18.1	1.5	0.153	1.2	2.6	9	2.35	14.5	0.13	220	31	2
5.2	3.48	19.7	1.65	0.203	1.73	1.88	5.3	2.52	12.5	0.2	300	23	2
5.6	3.48	16.9	1.4	0.074	1.15	1.72	9.85	2.45	8	0.07	305	32	2
5.8	2.63	23.7	1.65	0.155	1.58	1.6	3.6	3.75	4.9	0.1	275	20	2
6	2.63	19.2	0.9	0.155	0.96	1.2	4.05	3.3	0.2	0.1	405	18	2
5.3	2.63	18	1.6	0.129	1.68	2	4.4	3	3.6	0.18	210	23	2
5.4	4.46	14.8	2.45	0.245	2.15	3.12	7.15	1.81	12	0.13	170	31	2
5.6	4.46	15.6	1.65	0.422	1.42	2.56	7.25	1.92	5.2	0.15	235	28	2
5.3	2.8	16.2	1.65	0.063	1.62	2.04	5.3	3.9	10.2	0.12	185	21	2
5.4	2.8	14.1	1.25	0.042	1.62	1.84	3.1	4.1	8.5	0.3	255	20	2
5.5	2.8	17.5	1.05	0.03	1.56	1.48	2.4	2.1	9.6	0.2	265	15	2
5.4	2.57	14.1	2.7	0.194	2.77	2.56	4.25	2.6	6.9	0.17	305	26	2
5.4	2.57	19.1	1.6	0.139	1.59	1.88	5.8	2.3	4.7	0.16	440	24	2
5.2	2.57	22.5	0.85	0.046	1.65	1.2	1.55	1.5	3.5	0.21	430	16	2
5.5	1.26	17	0.7	0.094	0.97	1.24	4.55	2.9	1.9	0.12	350	18	3
5.9	1.26	12.5	0.8	0.039	0.8	0.64	2.65	0.72	0.7	0.13	475	10	3
5.6	2.52	21.5	1.8	0.142	1.77	2.6	6.5	2.48	8.3	0.17	195	33	3
5.6	2.52	22.2	1.05	0.08	1.17	1.48	4.85	2.2	9.3	0.14	375	25	3
5.3	2.52	13	2.2	0.215	1.85	3.84	8.75	2.4	13	0.11	160	35	3
5.6	3.24	13	3.55	0.166	3.18	3.48	5.2	3.5	18.3	0.22	240	33	3
5.5	3.24	10.9	3.3	0.111	2.79	3.04	4.75	2.52	10.5	0.21	205	31	3
5.6	3.24	12	3.65	0.18	2.4	3	5.85	3	14.5	0.21	270	34	3
5.4	1.56	22.8	0.55	0.069	1	1.14	2.85	2.9	3.3	0.15	475	16	3
5.3	1.56	16.5	2.05	0.222	1.49	2.4	6.55	3.9	6.3	0.11	430	31	3
5.2	1.56	18.4	1.05	0.267	1.17	1.36	6.6	2	4.9	0.11	490	28	3
