edad	EstadoCivil	Direccion	Ingresos	tipovehiculo	Educacion	Anostrabajando	Satisfaclab	Personashogar	Baja
55	Casado	12	50-70	Lujo	Basicos	Mas de 15	Muy satisfecho	4	No
56	Soltero	29	70	Lujo	Basicos	Mas de 15	Algo satisfecho	1	No
28	Casado	9	25-49	Economico	Diplomado	Menos de 5	Neutro	3	No
24	Casado	4	25-49	Economico	Licenciado	Menos de 5	Muy insatisfecho	3	No
25	Soltero	2	-25	Economico	Bachillerato	5 a 15	Algo insatisfecho	2	No
45	Casado	9	50-70	Estandar	Diplomado	5 a 15	Algo insatisfecho	2	No
42	Soltero	19	25-49	Estandar	Diplomado	5 a 15	Algo insatisfecho	1	No
35	Soltero	15	50-70	Estandar	Bachillerato	Menos de 5	Muy insatisfecho	1	No
46	Soltero	26	-25	Economico	Basicos	5 a 15	Muy satisfecho	2	No
34	Casado	0	70	Lujo	Diplomado	5 a 15	Algo satisfecho	6	No
55	Casado	17	50-70	Lujo	Diplomado	Menos de 5	Neutro	2	No
28	Soltero	3	-25	Economico	Licenciado	Menos de 5	Muy satisfecho	1	No
31	Casado	9	25-49	Estandar	Licenciado	Menos de 5	Algo insatisfecho	4	No
42	Soltero	8	70	Lujo	Diplomado	Menos de 5	Muy insatisfecho	1	No
35	Soltero	8	50-70	Lujo	Diplomado	5 a 15	Algo satisfecho	3	No
52	Casado	24	70	Lujo	Licenciado	Mas de 15	Muy satisfecho	2	No
21	Casado	1	25-49	Estandar	Diplomado	Menos de 5	Muy insatisfecho	7	No
32	Soltero	0	-25	Economico	Basicos	Menos de 5	Algo satisfecho	2	No
42	Soltero	9	25-49	Economico	Diplomado	Mas de 15	Neutro	1	No
40	Casado	12	50-70	Estandar	Bachillerato	Mas de 15	Muy satisfecho	4	No
30	Soltero	3	-25	Economico	Basicos	Menos de 5	Neutro	1	No
48	Soltero	14	-25	Economico	Diplomado	Menos de 5	Neutro	1	No
39	Casado	17	-25	Economico	Licenciado	Menos de 5	Neutro	5	No
24	Soltero	5	-25	Economico	Bachillerato	Menos de 5	Neutro	1	No
56	Soltero	7	70	Lujo	Licenciado	Mas de 15	Algo satisfecho	1	No
24	Soltero	2	-25	Economico	Bachillerato	Menos de 5	Neutro	1	No
41	Soltero	13	50-70	Estandar	Diplomado	Mas de 15	Neutro	1	No
57	Casado	30	70	Lujo	Bachillerato	Mas de 15	Algo insatisfecho	3	No
32	Soltero	2	25-49	Estandar	Bachillerato	5 a 15	Muy satisfecho	6	No
24	Soltero	5	-25	Economico	Licenciado	Menos de 5	Algo insatisfecho	1	No
49	Casado	12	25-49	Estandar	Basicos	Menos de 5	Neutro	3	No
21	Soltero	0	-25	Economico	Diplomado	Menos de 5	Muy insatisfecho	2	No
33	Casado	12	25-49	Estandar	Bachillerato	5 a 15	Algo insatisfecho	5	No
56	Soltero	12	50-70	Economico	Bachillerato	Mas de 15	Neutro	1	No
54	Casado	16	70	Lujo	Basicos	Mas de 15	Algo insatisfecho	6	No
