Especialidad	sexo	Persona	Frecuencia	Ofertas	Gasto	Tipo comercio
Delicatesen	Hombre	El mismo	Quincenal	internet	416.33	Mediana
Delicatesen	Hombre	El mismo	Quincenal	internet	383.24	Mediana
Delicatesen	Hombre	El mismo y familia	Semanal 	No	577.21	Mediana
Delicatesen	Hombre	El mismo y pareja 	Semanal 	internet	436.45	Mediana
sin especialidad	Hombre	El mismo y pareja 	Quincenal	propaganda	341.64	Grande
sin especialidad	Hombre	El mismo y pareja 	Semanal 	De ambos	348.27	Grande
sin especialidad	Mujer	El mismo y pareja 	Quincenal	De ambos	184.62	Grande
sin especialidad	Hombre	El mismo	Semanal 	No	297.28	Grande
sin especialidad	Hombre	El mismo y pareja 	Semanal 	internet	297.44	Grande
sin especialidad	Hombre	El mismo y pareja 	Quincenal	internet	296.36	Grande
sin especialidad	Hombre	El mismo y pareja 	Quincenal	No	361.69	Grande
sin especialidad	Hombre	El mismo y familia	Quincenal	propaganda	441.26	Grande
sin especialidad	Hombre	El mismo y familia	Quincenal	No	401.13	Grande
sin especialidad	Mujer	El mismo	Semanal 	internet	334.8	Grande
sin especialidad	Hombre	El mismo y pareja 	Semanal 	No	379.45	Grande
sin especialidad	Mujer	El mismo y pareja 	diario	propaganda	276.37	Grande
sin especialidad	Hombre	El mismo	diario	internet	384.57	Grande
sin especialidad	Mujer	El mismo y pareja 	Semanal 	No	346.25	Grande
sin especialidad	Mujer	El mismo y familia	diario	De ambos	503.21	Grande
sin especialidad	Hombre	El mismo y familia	Quincenal	No	512.95	Grande
sin especialidad	Hombre	El mismo y familia	Semanal 	internet	558.23	Grande
sin especialidad	Hombre	El mismo	Semanal 	propaganda	403.94	Grande
sin especialidad	Hombre	El mismo	Semanal 	propaganda	395.28	Grande
sin especialidad	Mujer	El mismo y pareja 	Semanal 	internet	316.09	Grande
sin especialidad	Mujer	El mismo y familia	Semanal 	propaganda	448.42	Grande
sin especialidad	Hombre	El mismo	diario	propaganda	269.74	Grande
Delicatesen	Hombre	El mismo y familia	Semanal 	propaganda	435.5	Mediana
Delicatesen	Mujer	El mismo y pareja 	Quincenal	propaganda	490.28	Mediana
Delicatesen	Mujer	El mismo y pareja 	Quincenal	No	352.7	Mediana
Delicatesen	Mujer	El mismo y familia	Semanal 	No	452.33	Mediana
Delicatesen	Mujer	El mismo	Semanal 	internet	343.64	Mediana
Delicatesen	Mujer	El mismo y pareja 	Semanal 	internet	331.85	Pequeña
